Index,TimeTag,Alias,ARINC429
0,0d:5h:09m:09.831 789s,Body Longitudinal Acceleration,0x9C4200D9
1,0d:5h:09m:09.834 669s,Body Lateral Acceleration,0x1FE000DA
2,0d:5h:09m:09.837 549s,Body Normal Acceleration,0x0DB100DB
3,0d:5h:09m:09.840 429s,Altitude (Inertial),0x0041BEF1
4,0d:5h:09m:09.843 309s,Vertical Acceleration,0x8DB100F4
5,0d:5h:09m:09.846 189s,Inertial Vertical Velocity (EFI),0x1FABE0F5
6,0d:5h:09m:09.849 069s,g,0x81C900F8
7,0d:5h:09m:09.885 709s,Magnetic Heading,0x0A08000C
8,0d:5h:09m:09.888 589s,Set Magnetic Heading,0x825C0023
9,0d:5h:09m:09.891 469s,Body Pitch Acceleration,0x0000002A
10,0d:5h:09m:09.894 349s,Body Roll Acceleration,0x9FFFE02B
11,0d:5h:09m:09.897 229s,Body Yaw Acceleration,0x0000002C
12,0d:5h:09m:09.900 109s,Altitude Rate,0x9FAA008A
13,0d:5h:09m:09.905 869s,Integrated Vertical Acceleration,0x80368AB5
14,0d:5h:09m:09.908 749s,Present Position - Latitude,0x1B05FC8
15,0d:5h:09m:09.911 629s,Present Position - Longitude,0x8ED82FC9
16,0d:5h:09m:09.914 509s,Ground Speed,0x80B580CA
17,0d:5h:09m:09.917 389s,Pitch Angle,0x000EC0D4
18,0d:5h:09m:09.920 269s,Roll Angle,0x9FF9C0D5
19,0d:5h:09m:09.923 149s,Body Pitch Rate,0x1FFF80D6
20,0d:5h:09m:09.926 029s,Body Roll Rate,0x800000D7
21,0d:5h:09m:09.928 909s,Body Yaw Rate,0x800000D8
22,0d:5h:09m:09.931 789s,Body Longitudinal Acceleration,0x9C6000D9
23,0d:5h:09m:09.934 669s,Body Lateral Acceleration,0x1FE000DA
24,0d:5h:09m:09.937 549s,Body Normal Acceleration,0x0D9C00DB
25,0d:5h:09m:09.940 429s,Altitude (Inertial),0x0041B1F1
26,0d:5h:09m:09.943 309s,Vertical Acceleration,0x8D9C00F4
27,0d:5h:09m:09.946 189s,Inertial Vertical Velocity (EFI),0x9FA920F5
28,0d:5h:09m:09.949 069s,g,0x81CA00F8
29,0d:5h:09m:09.985 709s,Magnetic Heading,0x0A08000C
30,0d:5h:09m:09.988 589s,Set Magnetic Heading,0x825C0023
31,0d:5h:09m:09.991 469s,Body Pitch Acceleration,0x0000002A
32,0d:5h:09m:09.994 349s,Body Roll Acceleration,0x8000002B
33,0d:5h:09m:09.997 229s,Body Yaw Acceleration,0x0000002C
34,0d:5h:09m:10.000 109s,Altitude Rate,0x9FA6008A
35,0d:5h:09m:10.005 869s,Integrated Vertical Acceleration,0x803638B5
36,0d:5h:09m:10.008 749s,Present Position - Latitude,0x1B05FC8
37,0d:5h:09m:10.011 629s,Present Position - Longitude,0x8ED82FC9
38,0d:5h:09m:10.014 509s,Ground Speed,0x80B580CA
39,0d:5h:09m:10.017 389s,Pitch Angle,0x801040D4
40,0d:5h:09m:10.020 269s,Roll Angle,0x9FFA00D5
41,0d:5h:09m:10.023 149s,Body Pitch Rate,0x1FFF80D6
42,0d:5h:09m:10.026 029s,Body Roll Rate,0x800000D7
43,0d:5h:09m:10.028 909s,Body Yaw Rate,0x800000D8
44,0d:5h:09m:10.031 789s,Body Longitudinal Acceleration,0x9C7700D9
45,0d:5h:09m:10.034 669s,Body Lateral Acceleration,0x1FE000DA
46,0d:5h:09m:10.037 549s,Body Normal Acceleration,0x0D8E00DB
47,0d:5h:09m:10.040 429s,Altitude (Inertial),0x0041A6F1
48,0d:5h:09m:10.043 309s,Vertical Acceleration,0x8D8E00F4
49,0d:5h:09m:10.046 189s,Inertial Vertical Velocity (EFI),0x9FA700F5
50,0d:5h:09m:10.049 069s,g,0x81CA00F8
51,0d:5h:09m:10.085 709s,Magnetic Heading,0x0A08000C
52,0d:5h:09m:10.088 589s,Set Magnetic Heading,0x825C0023
53,0d:5h:09m:10.091 469s,Body Pitch Acceleration,0x0000002A
54,0d:5h:09m:10.094 349s,Body Roll Acceleration,0x8000002B
55,0d:5h:09m:10.097 229s,Body Yaw Acceleration,0x0000002C
56,0d:5h:09m:10.100 109s,Altitude Rate,0x9FA6008A
57,0d:5h:09m:10.105 869s,Integrated Vertical Acceleration,0x00361BB5
58,0d:5h:09m:10.108 749s,Present Position - Latitude,0x1B05FC8
59,0d:5h:09m:10.111 629s,Present Position - Longitude,0x8ED82FC9
60,0d:5h:09m:10.114 509s,Ground Speed,0x80B580CA
61,0d:5h:09m:10.117 389s,Pitch Angle,0x8011C0D4
62,0d:5h:09m:10.120 269s,Roll Angle,0x9FFA00D5
63,0d:5h:09m:10.123 149s,Body Pitch Rate,0x1FFF80D6
64,0d:5h:09m:10.126 029s,Body Roll Rate,0x800000D7
65,0d:5h:09m:10.128 909s,Body Yaw Rate,0x800000D8
66,0d:5h:09m:10.131 789s,Body Longitudinal Acceleration,0x9C9A00D9
67,0d:5h:09m:10.134 669s,Body Lateral Acceleration,0x9FE200DA
68,0d:5h:09m:10.137 549s,Body Normal Acceleration,0x8D7900DB
69,0d:5h:09m:10.140 429s,Altitude (Inertial),0x804197F1
70,0d:5h:09m:10.143 309s,Vertical Acceleration,0x0D7900F4
71,0d:5h:09m:10.146 189s,Inertial Vertical Velocity (EFI),0x9FA400F5
72,0d:5h:09m:10.149 069s,g,0x81CA00F8
73,0d:5h:09m:10.185 709s,Magnetic Heading,0x0A08000C
74,0d:5h:09m:10.188 589s,Set Magnetic Heading,0x825C0023
75,0d:5h:09m:10.191 469s,Body Pitch Acceleration,0x0000002A
76,0d:5h:09m:10.194 349s,Body Roll Acceleration,0x8000002B
77,0d:5h:09m:10.197 229s,Body Yaw Acceleration,0x0000002C
78,0d:5h:09m:10.200 109s,Altitude Rate,0x1FA4008A
79,0d:5h:09m:10.205 869s,Integrated Vertical Acceleration,0x8035C7B5
80,0d:5h:09m:10.208 749s,Present Position - Latitude,0x1B05FC8
81,0d:5h:09m:10.211 629s,Present Position - Longitude,0x8ED82FC9
82,0d:5h:09m:10.214 509s,Ground Speed,0x80B580CA
83,0d:5h:09m:10.217 389s,Pitch Angle,0x001240D4
84,0d:5h:09m:10.220 269s,Roll Angle,0x9FFA00D5
85,0d:5h:09m:10.223 149s,Body Pitch Rate,0x1FFF80D6
86,0d:5h:09m:10.226 029s,Body Roll Rate,0x800000D7
87,0d:5h:09m:10.228 909s,Body Yaw Rate,0x800000D8
88,0d:5h:09m:10.231 789s,Body Longitudinal Acceleration,0x1CBF00D9
89,0d:5h:09m:10.234 669s,Body Lateral Acceleration,0x9FE400DA
90,0d:5h:09m:10.237 549s,Body Normal Acceleration,0x8D6400DB
91,0d:5h:09m:10.240 429s,Altitude (Inertial),0x004188F1
92,0d:5h:09m:10.243 309s,Vertical Acceleration,0x0D6400F4
93,0d:5h:09m:10.246 189s,Inertial Vertical Velocity (EFI),0x9FA100F5
94,0d:5h:09m:10.249 069s,g,0x01CB00F8
95,0d:5h:09m:10.285 709s,Magnetic Heading,0x0A08000C
96,0d:5h:09m:10.288 589s,Set Magnetic Heading,0x825C0023
97,0d:5h:09m:10.291 469s,Body Pitch Acceleration,0x0000002A
98,0d:5h:09m:10.294 349s,Body Roll Acceleration,0x8000002B
99,0d:5h:09m:10.297 229s,Body Yaw Acceleration,0x0000002C
100,0d:5h:09m:10.300 109s,Altitude Rate,0x9FA0008A
101,0d:5h:09m:10.305 869s,Integrated Vertical Acceleration,0x003577B5
102,0d:5h:09m:10.308 749s,Present Position - Latitude,0x1B05FC8
103,0d:5h:09m:10.311 629s,Present Position - Longitude,0x8ED82FC9
104,0d:5h:09m:10.314 509s,Ground Speed,0x80B580CA
105,0d:5h:09m:10.317 389s,Pitch Angle,0x801400D4
106,0d:5h:09m:10.320 269s,Roll Angle,0x1FFA40D5
107,0d:5h:09m:10.323 149s,Body Pitch Rate,0x1FFF80D6
108,0d:5h:09m:10.326 029s,Body Roll Rate,0x800000D7
109,0d:5h:09m:10.328 909s,Body Yaw Rate,0x800000D8
110,0d:5h:09m:10.331 789s,Body Longitudinal Acceleration,0x9CCA00D9
111,0d:5h:09m:10.334 669s,Body Lateral Acceleration,0x9FE400DA
112,0d:5h:09m:10.337 549s,Body Normal Acceleration,0x8D5E00DB
113,0d:5h:09m:10.340 429s,Altitude (Inertial),0x004184F1
114,0d:5h:09m:10.343 309s,Vertical Acceleration,0x0D5E00F4
115,0d:5h:09m:10.346 189s,Inertial Vertical Velocity (EFI),0x9FA020F5
116,0d:5h:09m:10.349 069s,g,0x01CB00F8
117,0d:5h:09m:10.385 709s,Magnetic Heading,0x0A08000C
118,0d:5h:09m:10.388 589s,Set Magnetic Heading,0x825C0023
119,0d:5h:09m:10.391 469s,Body Pitch Acceleration,0x0000002A
120,0d:5h:09m:10.394 349s,Body Roll Acceleration,0x8000002B
121,0d:5h:09m:10.397 229s,Body Yaw Acceleration,0x0000002C
122,0d:5h:09m:10.400 109s,Altitude Rate,0x1F9E008A
123,0d:5h:09m:10.405 869s,Integrated Vertical Acceleration,0x803540B5
124,0d:5h:09m:10.408 749s,Present Position - Latitude,0x1B05FC8
125,0d:5h:09m:10.411 629s,Present Position - Longitude,0x8ED82FC9
126,0d:5h:09m:10.414 509s,Ground Speed,0x80B580CA
127,0d:5h:09m:10.417 389s,Pitch Angle,0x001500D4
128,0d:5h:09m:10.420 269s,Roll Angle,0x1FFA80D5
129,0d:5h:09m:10.423 149s,Body Pitch Rate,0x1FFF80D6
130,0d:5h:09m:10.426 029s,Body Roll Rate,0x800000D7
131,0d:5h:09m:10.428 909s,Body Yaw Rate,0x800000D8
132,0d:5h:09m:10.431 789s,Body Longitudinal Acceleration,0x9D0100D9
133,0d:5h:09m:10.434 669s,Body Lateral Acceleration,0x9FE800DA
134,0d:5h:09m:10.437 549s,Body Normal Acceleration,0x8D4300DB
135,0d:5h:09m:10.440 429s,Altitude (Inertial),0x00416FF1
136,0d:5h:09m:10.443 309s,Vertical Acceleration,0x0D4300F4
137,0d:5h:09m:10.446 189s,Inertial Vertical Velocity (EFI),0x9F9C20F5
138,0d:5h:09m:10.449 069s,g,0x01CB00F8
139,0d:5h:09m:10.485 709s,Magnetic Heading,0x0A08000C
140,0d:5h:09m:10.488 589s,Set Magnetic Heading,0x825C0023
141,0d:5h:09m:10.491 469s,Body Pitch Acceleration,0x0000002A
142,0d:5h:09m:10.494 349s,Body Roll Acceleration,0x8000002B
143,0d:5h:09m:10.497 229s,Body Yaw Acceleration,0x0000002C
144,0d:5h:09m:10.500 109s,Altitude Rate,0x9F9C008A
145,0d:5h:09m:10.505 869s,Integrated Vertical Acceleration,0x0034F4B5
146,0d:5h:09m:10.508 749s,Present Position - Latitude,0x1B05FC8
147,0d:5h:09m:10.511 629s,Present Position - Longitude,0x8ED82FC9
148,0d:5h:09m:10.514 509s,Ground Speed,0x80B580CA
149,0d:5h:09m:10.517 389s,Pitch Angle,0x801680D4
150,0d:5h:09m:10.520 269s,Roll Angle,0x1FFA80D5
151,0d:5h:09m:10.523 149s,Body Pitch Rate,0x1FFF80D6
152,0d:5h:09m:10.526 029s,Body Roll Rate,0x800000D7
153,0d:5h:09m:10.528 909s,Body Yaw Rate,0x800000D8
154,0d:5h:09m:10.531 789s,Body Longitudinal Acceleration,0x1D0F00D9
155,0d:5h:09m:10.534 669s,Body Lateral Acceleration,0x1FE900DA
156,0d:5h:09m:10.537 549s,Body Normal Acceleration,0x8D3D00DB
157,0d:5h:09m:10.540 429s,Altitude (Inertial),0x00415FF1
158,0d:5h:09m:10.543 309s,Vertical Acceleration,0x0D3100F4
159,0d:5h:09m:10.546 189s,Inertial Vertical Velocity (EFI),0x1F9960F5
160,0d:5h:09m:10.549 069s,g,0x81CB80F8
161,0d:5h:09m:10.585 709s,Magnetic Heading,0x0A08000C
162,0d:5h:09m:10.588 589s,Set Magnetic Heading,0x825C0023
163,0d:5h:09m:10.591 469s,Body Pitch Acceleration,0x0000002A
164,0d:5h:09m:10.594 349s,Body Roll Acceleration,0x8000002B
165,0d:5h:09m:10.597 229s,Body Yaw Acceleration,0x0000002C
166,0d:5h:09m:10.600 109s,Altitude Rate,0x1F98008A
167,0d:5h:09m:10.605 869s,Integrated Vertical Acceleration,0x8034ACB5
168,0d:5h:09m:10.608 749s,Present Position - Latitude,0x1B05FC8
169,0d:5h:09m:10.611 629s,Present Position - Longitude,0x8ED82FC9
170,0d:5h:09m:10.614 509s,Ground Speed,0x80B580CA
171,0d:5h:09m:10.617 389s,Pitch Angle,0x801800D4
172,0d:5h:09m:10.620 269s,Roll Angle,0x9FFAC0D5
173,0d:5h:09m:10.623 149s,Body Pitch Rate,0x1FFF80D6
174,0d:5h:09m:10.626 029s,Body Roll Rate,0x800000D7
175,0d:5h:09m:10.628 909s,Body Yaw Rate,0x800000D8
176,0d:5h:09m:10.631 789s,Body Longitudinal Acceleration,0x9D3800D9
177,0d:5h:09m:10.634 669s,Body Lateral Acceleration,0x9FEB00DA
178,0d:5h:09m:10.637 549s,Body Normal Acceleration,0x0D2B00DB
179,0d:5h:09m:10.640 429s,Altitude (Inertial),0x80415BF1
180,0d:5h:09m:10.643 309s,Vertical Acceleration,0x8D2B00F4
181,0d:5h:09m:10.646 189s,Inertial Vertical Velocity (EFI),0x9F9860F5
182,0d:5h:09m:10.649 069s,g,0x81CB80F8
183,0d:5h:09m:10.685 709s,Magnetic Heading,0x0A08000C
184,0d:5h:09m:10.688 589s,Set Magnetic Heading,0x825C0023
185,0d:5h:09m:10.691 469s,Body Pitch Acceleration,0x0000002A
186,0d:5h:09m:10.694 349s,Body Roll Acceleration,0x8000002B
187,0d:5h:09m:10.697 229s,Body Yaw Acceleration,0x0000002C
188,0d:5h:09m:10.700 109s,Altitude Rate,0x1F98008A
189,0d:5h:09m:10.705 869s,Integrated Vertical Acceleration,0x803493B5
190,0d:5h:09m:10.708 749s,Present Position - Latitude,0x1B05FC8
191,0d:5h:09m:10.711 629s,Present Position - Longitude,0x8ED82FC9
192,0d:5h:09m:10.714 509s,Ground Speed,0x80B580CA
193,0d:5h:09m:10.717 389s,Pitch Angle,0x001880D4
194,0d:5h:09m:10.720 269s,Roll Angle,0x9FFAC0D5
195,0d:5h:09m:10.723 149s,Body Pitch Rate,0x1FFF80D6
196,0d:5h:09m:10.726 029s,Body Roll Rate,0x800000D7
197,0d:5h:09m:10.728 909s,Body Yaw Rate,0x800000D8
198,0d:5h:09m:10.731 789s,Body Longitudinal Acceleration,0x1D6900D9
199,0d:5h:09m:10.734 669s,Body Lateral Acceleration,0x9FEE00DA
200,0d:5h:09m:10.737 549s,Body Normal Acceleration,0x0D1700DB
201,0d:5h:09m:10.740 429s,Altitude (Inertial),0x804149F1
202,0d:5h:09m:10.743 309s,Vertical Acceleration,0x8D1700F4
203,0d:5h:09m:10.746 189s,Inertial Vertical Velocity (EFI),0x9F9540F5
204,0d:5h:09m:10.749 069s,g,0x81CB80F8
205,0d:5h:09m:10.785 709s,Magnetic Heading,0x0A08000C
206,0d:5h:09m:10.788 589s,Set Magnetic Heading,0x825C0023
207,0d:5h:09m:10.791 469s,Body Pitch Acceleration,0x0000002A
208,0d:5h:09m:10.794 349s,Body Roll Acceleration,0x8000002B
209,0d:5h:09m:10.797 229s,Body Yaw Acceleration,0x0000002C
210,0d:5h:09m:10.800 109s,Altitude Rate,0x1F94008A
211,0d:5h:09m:10.805 869s,Integrated Vertical Acceleration,0x003429B5
212,0d:5h:09m:10.808 749s,Present Position - Latitude,0x1B05FC8
213,0d:5h:09m:10.811 629s,Present Position - Longitude,0x8ED82FC9
214,0d:5h:09m:10.814 509s,Ground Speed,0x80B580CA
215,0d:5h:09m:10.817 389s,Pitch Angle,0x001AC0D4
216,0d:5h:09m:10.820 269s,Roll Angle,0x9FFAC0D5
217,0d:5h:09m:10.823 149s,Body Pitch Rate,0x1FFF80D6
218,0d:5h:09m:10.826 029s,Body Roll Rate,0x800000D7
219,0d:5h:09m:10.828 909s,Body Yaw Rate,0x800000D8
220,0d:5h:09m:10.831 789s,Body Longitudinal Acceleration,0x9D8C00D9
221,0d:5h:09m:10.834 669s,Body Lateral Acceleration,0x9FF000DA
222,0d:5h:09m:10.837 549s,Body Normal Acceleration,0x0D0A00DB
223,0d:5h:09m:10.840 429s,Altitude (Inertial),0x004139F1
224,0d:5h:09m:10.843 309s,Vertical Acceleration,0x0D0400F4
225,0d:5h:09m:10.846 189s,Inertial Vertical Velocity (EFI),0x9F9260F5
226,0d:5h:09m:10.849 069s,g,0x01CC80F8
227,0d:5h:09m:10.885 709s,Magnetic Heading,0x0A08000C
228,0d:5h:09m:10.888 589s,Set Magnetic Heading,0x825C0023
229,0d:5h:09m:10.891 469s,Body Pitch Acceleration,0x0000002A
230,0d:5h:09m:10.894 349s,Body Roll Acceleration,0x8000002B
231,0d:5h:09m:10.897 229s,Body Yaw Acceleration,0x0000002C
232,0d:5h:09m:10.900 109s,Altitude Rate,0x1F92008A
233,0d:5h:09m:10.905 869s,Integrated Vertical Acceleration,0x0033F3B5
234,0d:5h:09m:10.908 749s,Present Position - Latitude,0x1B05FC8
235,0d:5h:09m:10.911 629s,Present Position - Longitude,0x8ED82FC9
236,0d:5h:09m:10.914 509s,Ground Speed,0x80B580CA
237,0d:5h:09m:10.917 389s,Pitch Angle,0x801BC0D4
238,0d:5h:09m:10.920 269s,Roll Angle,0x1FFB00D5
239,0d:5h:09m:10.923 149s,Body Pitch Rate,0x1FFF80D6
240,0d:5h:09m:10.926 029s,Body Roll Rate,0x800000D7
241,0d:5h:09m:10.928 909s,Body Yaw Rate,0x800000D8
242,0d:5h:09m:10.931 789s,Body Longitudinal Acceleration,0x1DAF00D9
243,0d:5h:09m:10.934 669s,Body Lateral Acceleration,0x1FF100DA
244,0d:5h:09m:10.937 549s,Body Normal Acceleration,0x0CFD00DB
245,0d:5h:09m:10.940 429s,Altitude (Inertial),0x004133F1
246,0d:5h:09m:10.943 309s,Vertical Acceleration,0x8CFD00F4
247,0d:5h:09m:10.946 189s,Inertial Vertical Velocity (EFI),0x9F9160F5
248,0d:5h:09m:10.949 069s,g,0x01CC80F8
249,0d:5h:09m:10.985 709s,Magnetic Heading,0x0A08000C
250,0d:5h:09m:10.988 589s,Set Magnetic Heading,0x825C0023
251,0d:5h:09m:10.991 469s,Body Pitch Acceleration,0x0000002A
252,0d:5h:09m:10.994 349s,Body Roll Acceleration,0x8000002B
253,0d:5h:09m:10.997 229s,Body Yaw Acceleration,0x0000002C
254,0d:5h:09m:11.000 109s,Altitude Rate,0x9F90008A
255,0d:5h:09m:11.005 869s,Integrated Vertical Acceleration,0x8033BAB5
256,0d:5h:09m:11.008 749s,Present Position - Latitude,0x1B05FC8
257,0d:5h:09m:11.011 629s,Present Position - Longitude,0x8ED82FC9
258,0d:5h:09m:11.014 509s,Ground Speed,0x80B580CA
259,0d:5h:09m:11.017 389s,Pitch Angle,0x001CC0D4
260,0d:5h:09m:11.020 269s,Roll Angle,0x1FFB00D5
261,0d:5h:09m:11.023 149s,Body Pitch Rate,0x1FFF80D6
262,0d:5h:09m:11.026 029s,Body Roll Rate,0x800000D7
263,0d:5h:09m:11.028 909s,Body Yaw Rate,0x800000D8
264,0d:5h:09m:11.031 789s,Body Longitudinal Acceleration,0x9DFE00D9
265,0d:5h:09m:11.034 669s,Body Lateral Acceleration,0x1FF400DA
266,0d:5h:09m:11.037 549s,Body Normal Acceleration,0x0CDF00DB
267,0d:5h:09m:11.040 429s,Altitude (Inertial),0x00411BF1
268,0d:5h:09m:11.043 309s,Vertical Acceleration,0x8CDF00F4
269,0d:5h:09m:11.046 189s,Inertial Vertical Velocity (EFI),0x1F8D60F5
270,0d:5h:09m:11.049 069s,g,0x01CC80F8
271,0d:5h:09m:11.085 709s,Magnetic Heading,0x0A08000C
272,0d:5h:09m:11.088 589s,Set Magnetic Heading,0x825C0023
273,0d:5h:09m:11.091 469s,Body Pitch Acceleration,0x0000002A
274,0d:5h:09m:11.094 349s,Body Roll Acceleration,0x8000002B
275,0d:5h:09m:11.097 229s,Body Yaw Acceleration,0x0000002C
276,0d:5h:09m:11.100 109s,Altitude Rate,0x1F8C008A
277,0d:5h:09m:11.105 869s,Integrated Vertical Acceleration,0x80335DB5
278,0d:5h:09m:11.108 749s,Present Position - Latitude,0x1B05FC8
279,0d:5h:09m:11.111 629s,Present Position - Longitude,0x8ED82FC9
280,0d:5h:09m:11.114 509s,Ground Speed,0x80B580CA
281,0d:5h:09m:11.117 389s,Pitch Angle,0x001E40D4
282,0d:5h:09m:11.120 269s,Roll Angle,0x1FFB00D5
283,0d:5h:09m:11.123 149s,Body Pitch Rate,0x1FFF80D6
284,0d:5h:09m:11.126 029s,Body Roll Rate,0x800000D7
285,0d:5h:09m:11.128 909s,Body Yaw Rate,0x800000D8
286,0d:5h:09m:11.131 789s,Body Longitudinal Acceleration,0x1E0F00D9
287,0d:5h:09m:11.134 669s,Body Lateral Acceleration,0x9FF500DA
288,0d:5h:09m:11.137 549s,Body Normal Acceleration,0x8CD700DB
289,0d:5h:09m:11.140 429s,Altitude (Inertial),0x004109F1
290,0d:5h:09m:11.143 309s,Vertical Acceleration,0x0CC600F4
291,0d:5h:09m:11.146 189s,Inertial Vertical Velocity (EFI),0x9F8A60F5
292,0d:5h:09m:11.149 069s,g,0x01CD00F8
293,0d:5h:09m:11.185 709s,Magnetic Heading,0x0A08000C
294,0d:5h:09m:11.188 589s,Set Magnetic Heading,0x825C0023
295,0d:5h:09m:11.191 469s,Body Pitch Acceleration,0x0000002A
296,0d:5h:09m:11.194 349s,Body Roll Acceleration,0x8000002B
297,0d:5h:09m:11.197 229s,Body Yaw Acceleration,0x0000002C
298,0d:5h:09m:11.200 109s,Altitude Rate,0x1F8A008A
299,0d:5h:09m:11.205 869s,Integrated Vertical Acceleration,0x0032F8B5
300,0d:5h:09m:11.208 749s,Present Position - Latitude,0x1B05FC8
301,0d:5h:09m:11.211 629s,Present Position - Longitude,0x8ED82FC9
302,0d:5h:09m:11.214 509s,Ground Speed,0x80B580CA
303,0d:5h:09m:11.217 389s,Pitch Angle,0x002000D4
304,0d:5h:09m:11.220 269s,Roll Angle,0x9FFB40D5
305,0d:5h:09m:11.223 149s,Body Pitch Rate,0x1FFF80D6
306,0d:5h:09m:11.226 029s,Body Roll Rate,0x800000D7
307,0d:5h:09m:11.228 909s,Body Yaw Rate,0x800000D8
308,0d:5h:09m:11.231 789s,Body Longitudinal Acceleration,0x9E4C00D9
309,0d:5h:09m:11.234 669s,Body Lateral Acceleration,0x1FF700DA
310,0d:5h:09m:11.237 549s,Body Normal Acceleration,0x8CBE00DB
311,0d:5h:09m:11.240 429s,Altitude (Inertial),0x804104F1
312,0d:5h:09m:11.243 309s,Vertical Acceleration,0x0CBE00F4
313,0d:5h:09m:11.246 189s,Inertial Vertical Velocity (EFI),0x1F8980F5
314,0d:5h:09m:11.249 069s,g,0x01CD00F8
315,0d:5h:09m:11.285 709s,Magnetic Heading,0x0A08000C
316,0d:5h:09m:11.288 589s,Set Magnetic Heading,0x825C0023
317,0d:5h:09m:11.291 469s,Body Pitch Acceleration,0x0000002A
318,0d:5h:09m:11.294 349s,Body Roll Acceleration,0x8000002B
319,0d:5h:09m:11.297 229s,Body Yaw Acceleration,0x0000002C
320,0d:5h:09m:11.300 109s,Altitude Rate,0x9F88008A
321,0d:5h:09m:11.305 869s,Integrated Vertical Acceleration,0x0032AEB5
322,0d:5h:09m:11.308 749s,Present Position - Latitude,0x1B05FC8
323,0d:5h:09m:11.311 629s,Present Position - Longitude,0x8ED82FC9
324,0d:5h:09m:11.314 509s,Ground Speed,0x80B580CA
325,0d:5h:09m:11.317 389s,Pitch Angle,0x802100D4
326,0d:5h:09m:11.320 269s,Roll Angle,0x9FFB40D5
327,0d:5h:09m:11.323 149s,Body Pitch Rate,0x1FFF80D6
328,0d:5h:09m:11.326 029s,Body Roll Rate,0x800000D7
329,0d:5h:09m:11.328 909s,Body Yaw Rate,0x800000D8
330,0d:5h:09m:11.331 789s,Body Longitudinal Acceleration,0x9E8900D9
331,0d:5h:09m:11.334 669s,Body Lateral Acceleration,0x1FF800DA
332,0d:5h:09m:11.337 549s,Body Normal Acceleration,0x0CA200DB
333,0d:5h:09m:11.340 429s,Altitude (Inertial),0x0040F1F1
334,0d:5h:09m:11.343 309s,Vertical Acceleration,0x8CA200F4
335,0d:5h:09m:11.346 189s,Inertial Vertical Velocity (EFI),0x9F8660F5
336,0d:5h:09m:11.349 069s,g,0x01CD00F8
337,0d:5h:09m:11.385 709s,Magnetic Heading,0x8A08400C
338,0d:5h:09m:11.388 589s,Set Magnetic Heading,0x825C0023
339,0d:5h:09m:11.391 469s,Body Pitch Acceleration,0x8000202A
340,0d:5h:09m:11.394 349s,Body Roll Acceleration,0x8000002B
341,0d:5h:09m:11.397 229s,Body Yaw Acceleration,0x0000002C
342,0d:5h:09m:11.400 109s,Altitude Rate,0x9F84008A
343,0d:5h:09m:11.405 869s,Integrated Vertical Acceleration,0x80323AB5
344,0d:5h:09m:11.408 749s,Present Position - Latitude,0x1B05FC8
345,0d:5h:09m:11.411 629s,Present Position - Longitude,0x8ED82FC9
346,0d:5h:09m:11.414 509s,Ground Speed,0x00B5A0CA
347,0d:5h:09m:11.417 389s,Pitch Angle,0x002280D4
348,0d:5h:09m:11.420 269s,Roll Angle,0x9FFB40D5
349,0d:5h:09m:11.423 149s,Body Pitch Rate,0x1FFF80D6
350,0d:5h:09m:11.426 029s,Body Roll Rate,0x800000D7
351,0d:5h:09m:11.428 909s,Body Yaw Rate,0x800000D8
352,0d:5h:09m:11.431 789s,Body Longitudinal Acceleration,0x9EB000D9
353,0d:5h:09m:11.434 669s,Body Lateral Acceleration,0x9FF900DA
354,0d:5h:09m:11.437 549s,Body Normal Acceleration,0x8C8E00DB
355,0d:5h:09m:11.440 429s,Altitude (Inertial),0x8040DEF1
356,0d:5h:09m:11.443 309s,Vertical Acceleration,0x0C8400F4
357,0d:5h:09m:11.446 189s,Inertial Vertical Velocity (EFI),0x9F8360F5
358,0d:5h:09m:11.449 069s,g,0x01CE00F8
359,0d:5h:09m:11.485 709s,Magnetic Heading,0x8A08400C
360,0d:5h:09m:11.488 589s,Set Magnetic Heading,0x825C0023
361,0d:5h:09m:11.491 469s,Body Pitch Acceleration,0x8000202A
362,0d:5h:09m:11.494 349s,Body Roll Acceleration,0x8000002B
363,0d:5h:09m:11.497 229s,Body Yaw Acceleration,0x0000002C
364,0d:5h:09m:11.500 109s,Altitude Rate,0x9F82008A
365,0d:5h:09m:11.505 869s,Integrated Vertical Acceleration,0x0031E5B5
366,0d:5h:09m:11.508 749s,Present Position - Latitude,0x1B05FC8
367,0d:5h:09m:11.511 629s,Present Position - Longitude,0x8ED82FC9
368,0d:5h:09m:11.514 509s,Ground Speed,0x00B5A0CA
369,0d:5h:09m:11.517 389s,Pitch Angle,0x802400D4
370,0d:5h:09m:11.520 269s,Roll Angle,0x9FFB40D5
371,0d:5h:09m:11.523 149s,Body Pitch Rate,0x1FFF80D6
372,0d:5h:09m:11.526 029s,Body Roll Rate,0x800000D7
373,0d:5h:09m:11.528 909s,Body Yaw Rate,0x800000D8
374,0d:5h:09m:11.531 789s,Body Longitudinal Acceleration,0x9ED600D9
375,0d:5h:09m:11.534 669s,Body Lateral Acceleration,0x9FFA00DA
376,0d:5h:09m:11.537 549s,Body Normal Acceleration,0x0C7900DB
377,0d:5h:09m:11.540 429s,Altitude (Inertial),0x8040D1F1
378,0d:5h:09m:11.543 309s,Vertical Acceleration,0x8C7900F4
379,0d:5h:09m:11.546 189s,Inertial Vertical Velocity (EFI),0x9F8180F5
380,0d:5h:09m:11.549 069s,g,0x01CE00F8
